City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ayan,76,TR,1552191128,75,40.67,33.6,28.91,3.38
1,Yurty,56,RU,1552191128,63,56.05,97.64,18.7,7.63
2,Jamestown,0,AU,1552190829,40,-33.21,138.6,84.49,15.79
3,Tiksi,0,RU,1552191128,77,71.64,128.87,-12.63,3.27
4,Karachi,75,PK,1552190100,49,24.87,67.03,69.8,7.4
5,Torbay,40,CA,1552190608,73,47.66,-52.73,21.99,13.87
6,High Level,20,CA,1552186800,72,58.52,-117.13,15.8,3.36
7,Capao da Canoa,68,BR,1552191007,100,-29.75,-50.01,76.03,23.51
8,Sioux Lookout,90,CA,1552189200,100,50.1,-91.92,30.2,3.36
9,Albany,1,US,1552191080,42,42.65,-73.75,30.2,4.7
10,Tukums,90,LV,1552188000,91,56.97,23.17,39.2,12.75
11,New Norfolk,75,AU,1552191076,40,-42.78,147.06,73.99,17.22
12,Sao Francisco,0,BR,1552190400,94,-25.65,-53.85,71.6,5.82
13,Hobart,75,AU,1552190896,40,-42.88,147.33,73.99,16.11
14,Vaini,0,IN,1552190400,26,15.34,74.49,84.2,6.93
15,Rikitea,88,PF,1552191131,100,-23.12,-134.97,74.5,11.54
16,Ushuaia,40,AR,1552190400,76,-54.81,-68.31,57.2,17.22
17,Cururupu,48,BR,1552191131,94,-1.82,-44.87,76.97,3.71
18,Lakatoro,92,VU,1552191131,100,-16.11,167.42,75.4,5.17
19,Burnie,92,AU,1552190914,82,-41.05,145.91,66.99,7
20,Luba,0,PH,1552191132,59,17.32,120.7,83.05,3.6
21,Kapaa,75,US,1552190908,83,22.08,-159.32,75.2,17.22
22,Hithadhoo,0,MV,1552191134,100,-0.6,73.08,83.41,6.4
23,Dikson,76,RU,1552191134,90,73.51,80.55,12.44,17.81
24,Cape Town,8,ZA,1552191064,85,-33.93,18.42,66.99,5.99
25,Katsuura,90,JP,1552190082,82,33.93,134.5,55.4,10.29
26,Bredasdorp,92,ZA,1552190449,77,-34.53,20.04,69.8,14.99
27,Mar del Plata,0,AR,1552191135,97,-46.43,-67.52,49.57,4.61
28,Leshukonskoye,80,RU,1552191135,83,64.9,45.76,29.23,6.4
29,Castro,0,CL,1552190400,71,-42.48,-73.76,53.6,4.7
30,Ina,75,JP,1552191128,56,35.83,137.95,57.2,12.75
31,Avarua,68,CK,1552190400,78,-21.21,-159.78,82.4,8.05
32,Lebu,20,ET,1552186800,87,8.96,38.73,55.4,4.7
33,Arkhara,0,RU,1552191136,38,49.42,130.09,38.72,4.05
34,Touros,20,BR,1552186800,94,-5.2,-35.46,75.2,2.24
35,Severo-Kurilsk,80,RU,1552191136,100,50.68,156.12,27.16,11.88
36,Bambous Virieux,20,MU,1552190948,94,-20.34,57.76,82,4.7
37,Norman Wells,75,CA,1552186800,61,65.28,-126.83,17.6,2.24
38,Dawlatabad,88,AF,1552191137,66,36.41,64.91,41.47,7.4
39,Dekar,56,BW,1552191137,45,-21.53,21.93,72.74,3.83
40,Barrow,0,AR,1552191137,69,-38.31,-60.23,48.4,8.08
41,Lagoa,0,PT,1552191130,82,37.14,-8.45,55.99,6.93
42,Narsaq,8,GL,1552186200,63,60.91,-46.05,26.6,4.7
43,Innisfail,20,CA,1552186800,77,52.02,-113.95,6.8,5.82
44,Isangel,64,VU,1552191139,100,-19.55,169.27,77.92,11.32
45,Kaduqli,0,SD,1552191139,30,11.01,29.72,64.33,9.19
46,Sitka,8,US,1552191139,53,37.17,-99.65,40.39,14.45
47,Kaitangata,20,NZ,1552191139,76,-46.28,169.85,60.64,19.71
48,Acapulco,5,MX,1552189380,78,16.86,-99.88,78.8,5.82
49,Arraial do Cabo,0,BR,1552191141,92,-22.97,-42.02,79.81,13.78
50,Kapit,12,MY,1552191141,75,2.02,112.94,83.86,2.26
51,Yar-Sale,92,RU,1552191141,90,66.83,70.83,22.07,15.12
52,Ulagan,0,RU,1552191141,73,50.63,87.96,8.89,3.38
53,Rafaela,0,AR,1552191082,66,-31.25,-61.49,62.01,4
54,Busselton,76,AU,1552191018,39,-33.64,115.35,77,10.87
55,Ugoofaaru,12,MV,1552191144,100,5.67,73,81.29,8.41
56,Nongan,0,CN,1552190400,14,44.43,125.17,41,2.24
57,Balaipungut,44,ID,1552191145,92,1.11,101.31,79.45,3.6
58,Padang,40,ID,1552186800,74,-0.92,100.36,82.4,9.17
59,Hasaki,75,JP,1552190743,48,35.73,140.83,63,8.05
60,Poum,0,MK,1552188600,75,41.28,20.71,46.4,6.93
61,Shaowu,76,CN,1552191146,86,27.34,117.49,52.9,2.59
62,Okha,20,RU,1552191146,92,53.59,142.95,23.74,12.66
63,Butaritari,88,KI,1552191146,100,3.07,172.79,76.61,4.94
64,Nargana,80,PA,1552191147,100,9.44,-78.59,79.63,17.47
65,Rome,0,IT,1552191124,87,41.89,12.48,55,9.17
66,Namatanai,92,PG,1552191150,100,-3.66,152.44,77.11,7.4
67,Punta Arenas,75,CL,1552190594,76,-53.16,-70.91,51.8,9.17
68,Baijiantan,68,CN,1552191150,89,45.63,85.18,25.94,3.27
69,Huilong,8,CN,1552191150,88,28.89,110.18,54.79,3.04
70,Bonavista,0,CA,1552190483,72,48.65,-53.11,18,13
71,Chokurdakh,80,RU,1552191151,84,70.62,147.9,-2.68,4.61
72,Rawson,0,AR,1552191151,21,-43.3,-65.11,63.79,10.98
73,Nikolskoye,75,RU,1552191035,80,59.7,30.79,35.6,8.95
74,Te Anau,0,NZ,1552191151,59,-45.41,167.72,67.52,2.82
75,Lavrentiya,80,RU,1552191152,99,65.58,-170.99,24.1,36.93
76,Dawson,90,US,1552191013,75,39.85,-89.46,46.4,29.97
77,Atuona,0,PF,1552191153,99,-9.8,-139.03,82.78,14.9
78,San Cristobal,0,EC,1552190445,87,-0.39,-78.55,53.6,2.24
79,Cherskiy,44,RU,1552191154,70,68.75,161.3,1.24,2.48
80,Qinzhou,64,CN,1552191154,92,21.96,108.62,61.27,11.1
81,Mataura,0,NZ,1552191007,77,-46.19,168.86,60.01,10
82,Qaanaaq,64,GL,1552191155,95,77.48,-69.36,-9.03,2.37
83,Mahebourg,20,MU,1552190948,94,-20.41,57.7,82,4.7
84,Makakilo City,40,US,1552191052,60,21.35,-158.09,77,10.29
85,Toora-Khem,44,RU,1552191155,46,52.47,96.11,17.44,3.38
86,Rafai,0,CF,1552191156,54,4.95,23.92,67.16,8.41
87,Tilichiki,0,RU,1552191156,79,60.47,166.1,9.88,3.94
88,Bluff,0,AU,1552191156,39,-23.58,149.07,93.13,7.18
89,Garowe,80,SO,1552191156,95,8.41,48.48,63.97,6.06
90,Madera,92,US,1552190884,81,36.96,-120.06,51.8,7.29
91,Geraldton,75,CA,1552186800,62,49.72,-86.95,23,3.36
92,Hermanus,64,ZA,1552190496,93,-34.42,19.24,66.99,1.99
93,Zyryanskoye,76,RU,1552191157,86,56.83,86.62,17.84,10.54
94,Bethel,90,US,1552190160,74,60.79,-161.76,37.4,9.17
95,Puerto Ayora,0,EC,1552191128,96,-0.74,-90.35,79.27,8.97
96,Klaksvik,76,FO,1552189800,100,62.23,-6.59,32,4.7
97,Chunoyar,68,RU,1552191163,58,57.45,97.32,19.06,7.85
98,Barra Patuca,36,HN,1552191164,89,15.8,-84.28,79.54,12.1
99,Alofi,88,NU,1552186800,66,-19.06,-169.92,86,11.41
100,Pevek,20,RU,1552191164,93,69.7,170.27,-4.93,2.71
101,Hualmay,64,PE,1552191165,83,-11.1,-77.61,70.54,4.38
102,Saskylakh,76,RU,1552191165,77,71.97,114.09,-4.21,8.75
103,Talara,48,PE,1552191165,77,-4.58,-81.27,75.22,5.17
104,Rocha,56,UY,1552191166,80,-34.48,-54.34,63.02,10.98
105,Vila Franca do Campo,75,PT,1552190973,82,37.72,-25.43,60.8,2.24
106,Kieta,76,PG,1552191166,98,-6.22,155.63,81.02,6.29
107,Alferrarede,24,PT,1552191119,93,39.48,-8.18,54,3.15
108,Saint-Philippe,1,CA,1552191006,61,45.36,-73.48,19.4,5.82
109,Nikolayevsk-na-amure,0,RU,1552191171,71,53.14,140.72,26.98,10.42
110,Natal,20,BR,1552186800,83,-5.81,-35.21,78.8,3.36
111,Port Alfred,88,ZA,1552191126,86,-33.59,26.89,66.99,5.01
112,Fort Frances,90,CA,1552190453,100,48.61,-93.4,32,5.82
113,Hilo,1,US,1552191136,60,19.71,-155.08,73.4,3.36
114,Codrington,8,AU,1552191131,34,-28.95,153.24,96.8,11.41
115,Atherton,92,GB,1552190965,86,53.52,-2.49,41,5.82
116,Popondetta,68,PG,1552191174,77,-8.77,148.24,79.27,2.59
117,Ribeira Grande,48,PT,1552191174,95,38.52,-28.7,61.9,10.2
118,Airai,56,TL,1552191174,59,-8.93,125.41,81.02,1.92
119,Hovd,20,NO,1552191013,92,63.83,10.7,28.99,3.36
120,Havelock,20,US,1552191001,93,34.88,-76.9,50,5.82
121,San Juan,40,PR,1552191058,83,18.47,-66.12,75.99,4.7
122,Ilulissat,36,GL,1552186200,78,69.22,-51.1,10.4,8.05
123,Diego de Almagro,0,CL,1552191177,90,-26.39,-70.05,59.02,0.81
124,Tigil,68,RU,1552191177,88,57.8,158.67,23.47,9.53
125,Georgetown,0,GY,1552186800,94,6.8,-58.16,75.2,6.93
126,Thompson,75,CA,1552186800,77,55.74,-97.86,5,12.75
127,Galle,1,US,1552191141,51,29.74,-97.91,72,6.93
128,Kinatakutan,24,PH,1552191180,83,13.95,122.48,83.14,3.38
129,Khandbari,12,NP,1552191181,62,27.38,87.21,29.14,1.14
130,Khatanga,80,RU,1552191181,66,71.98,102.47,-9.34,9.53
131,Carnarvon,24,ZA,1552191181,97,-30.97,22.13,47.99,5.61
132,Chuy,92,UY,1552191181,98,-33.69,-53.46,66.31,16.58
133,Ancud,0,CL,1552190400,71,-41.87,-73.83,53.6,4.7
134,Wegorzewo,76,PL,1552191181,90,54.22,21.74,35.8,15.01
135,Black River,20,JM,1552190425,57,18.03,-77.85,80.6,6.93
136,Puerto Escondido,0,MX,1552191182,100,15.86,-97.07,82.24,6.17
137,Yurga,56,RU,1552191184,83,55.71,84.93,14.47,10.2
138,Tomatlan,0,MX,1552191184,91,19.93,-105.25,69.91,2.48
139,Zarubino,32,RU,1552191184,63,42.65,131.06,40.93,3.71
140,Spring Valley,1,US,1552191010,64,41.11,-74.04,39.2,6.93
141,Taga,75,JP,1552191029,93,35.21,136.34,55,9.17
142,Kenora,90,CA,1552191166,92,49.76,-94.48,26.6,9.17
143,Haines Junction,76,CA,1552191186,83,60.75,-137.51,19.01,3.15
144,Gondanglegi,24,ID,1552191186,83,-7.75,112.01,83.23,5.61
145,Muli,12,IN,1552191186,48,22.62,71.45,69.73,3.04
146,Dunda,0,IN,1552190400,55,30.62,78.32,62.6,3.36
147,Balangiga,36,PH,1552191187,89,11.11,125.39,80.44,4.72
148,Cidreira,100,BR,1552191188,92,-30.17,-50.22,71.35,12.44
149,Henties Bay,68,NA,1552190580,87,-22.12,14.28,62.01,3
150,Harfleur,90,FR,1552191044,93,49.51,0.2,54,21.92
151,Moose Factory,1,CA,1552186800,47,51.26,-80.61,14,9.17
152,Barabai,24,ID,1552191189,70,-2.59,115.38,87.37,2.15
153,Westport,92,IE,1552191184,88,53.8,-9.52,42.01,11.99
154,East London,90,ZA,1552187700,100,-33.02,27.91,66.2,12.75
